source target weight_t0 weight_t1 weight_t2 weight_t3 weight_t4
0 5 0 0 0 0 1
0 9 1 1 1 1 0
0 20 1 0 0 0 0
1 3 1 1 0 0 0
1 21 1 1 1 1 0
1 39 0 0 1 1 1
1 47 1 1 1 1 1
2 8 1 1 1 1 1
2 31 0 1 1 1 0
2 38 0 0 1 1 1
3 17 0 1 1 1 1
3 26 0 0 1 0 0
3 33 0 1 1 0 0
3 47 1 0 0 0 0
4 14 0 0 1 1 1
4 18 1 1 0 0 0
4 22 1 1 0 0 0
4 38 0 0 0 0 1
4 42 1 1 1 1 1
4 44 1 1 1 1 1
5 0 0 0 1 1 0
5 2 0 1 1 1 1
5 20 0 0 1 1 1
5 37 1 1 1 1 1
5 38 0 0 0 0 1
5 40 0 0 1 1 1
5 87 1 1 1 0 0
6 3 1 1 0 0 0
6 10 1 1 0 0 0
6 14 1 1 0 0 0
6 24 1 1 1 1 1
6 30 1 1 1 1 1
6 33 0 0 1 1 1
6 46 1 1 1 1 0
6 49 0 0 1 0 0
7 14 1 1 1 0 0
7 16 0 0 0 1 1
7 27 1 1 1 1 1
7 33 1 1 0 0 0
8 1 0 0 0 0 1
8 2 0 1 0 0 0
8 15 0 0 1 1 1
9 14 0 0 0 0 1
9 23 0 0 0 0 1
9 24 0 0 0 0 1
9 37 1 1 1 1 1
9 41 0 0 0 1 1
9 59 1 0 0 0 0
10 13 1 1 1 1 0
10 17 1 1 1 1 1
10 32 1 1 1 1 1
10 49 1 1 1 0 0
11 3 1 1 0 0 0
11 5 1 1 1 1 1
11 10 1 1 0 0 0
11 20 0 0 0 0 1
11 33 1 0 0 0 0
11 46 0 0 0 0 1
11 49 0 1 1 0 0
12 17 0 0 1 1 1
12 20 1 1 1 1 1
12 25 1 1 0 0 0
12 29 1 1 1 1 1
12 39 1 1 1 1 1
12 72 1 1 1 1 1
13 5 1 1 1 0 0
13 39 1 1 0 0 0
13 99 1 1 1 1 1
14 3 0 0 0 0 1
14 9 0 0 0 1 1
14 32 1 1 1 0 0
15 2 1 1 1 1 1
15 8 0 1 1 1 1
15 12 0 0 1 1 0
15 22 1 1 0 0 0
15 28 0 1 1 1 1
15 29 1 0 0 0 0
15 57 1 1 1 0 0
16 13 1 1 1 1 1
16 24 1 1 1 1 1
17 3 0 0 1 1 0
17 25 1 1 1 0 0
17 32 1 1 1 1 1
17 48 1 0 0 0 0
18 6 1 1 1 0 0
18 25 0 0 1 1 1
18 28 0 0 0 0 1
18 32 0 1 1 1 1
18 33 1 1 1 0 0
19 3 0 0 0 1 1
19 22 1 1 1 1 0
19 25 1 1 0 0 0
19 31 1 1 1 1 1
20 0 1 1 0 0 0
20 11 1 1 1 1 1
20 47 1 1 0 0 0
21 1 0 0 0 1 1
21 4 0 1 0 0 0
21 11 1 1 1 1 1
21 13 0 0 0 1 0
21 33 1 1 0 0 0
21 37 1 0 0 0 0
21 38 0 0 0 1 1
21 48 1 1 1 1 1
21 49 1 1 0 0 0
22 3 1 1 1 0 0
22 4 0 1 1 1 1
22 5 1 1 1 1 0
22 7 0 0 0 0 1
22 14 0 0 0 0 1
22 15 0 0 1 1 1
22 19 0 1 1 1 1
22 21 1 1 1 1 1
22 27 0 0 1 1 0
22 28 0 1 1 1 1
22 49 1 1 1 1 1
23 10 1 1 1 1 1
23 12 0 0 1 1 1
23 13 0 0 0 0 1
23 17 0 1 1 1 1
23 18 1 0 0 0 0
23 29 0 0 0 0 1
23 38 0 1 0 0 0
24 16 0 0 0 0 1
24 18 0 0 0 0 1
24 20 1 1 1 1 0
24 23 1 1 1 0 0
24 31 0 0 1 1 1
24 35 0 0 0 0 1
24 37 0 0 0 0 1
25 2 1 0 0 0 0
25 6 1 1 1 1 1
25 20 1 1 1 0 0
25 24 0 0 1 1 1
25 28 0 0 0 1 1
25 49 0 1 1 1 0
25 71 1 1 0 0 0
26 2 1 1 1 0 0
26 20 1 1 1 1 1
26 96 1 0 0 0 0
27 18 0 0 0 0 1
27 41 0 0 0 0 1
27 83 1 1 0 0 0
28 15 0 0 0 0 1
28 18 0 1 1 1 1
28 33 1 1 1 1 1
28 38 1 0 0 0 0
28 49 1 1 1 1 1
29 0 0 0 1 1 1
29 4 0 1 0 0 0
29 11 0 1 1 0 0
29 15 0 1 1 1 1
29 22 0 1 1 0 0
29 23 1 1 1 1 1
30 18 0 1 1 1 1
30 32 0 1 1 1 1
30 38 1 1 0 0 0
30 47 1 1 1 1 1
30 80 0 0 0 1 1
31 2 1 1 1 1 1
31 16 0 0 1 1 1
31 19 0 0 0 1 0
31 28 0 0 1 1 1
32 5 1 0 0 0 0
32 6 1 0 0 0 0
32 7 0 0 0 1 1
32 9 1 1 1 0 0
33 3 1 1 1 1 1
33 10 0 0 0 0 1
33 31 0 0 1 1 1
33 40 0 0 1 1 1
33 41 1 1 1 0 0
34 19 1 0 0 0 0
34 41 1 0 0 0 0
34 48 1 1 0 0 0
35 6 1 1 1 1 1
35 10 0 1 1 1 1
35 16 0 0 0 1 0
35 31 0 0 1 1 1
35 33 1 0 0 0 0
35 37 1 1 1 1 1
35 38 0 0 0 1 0
36 6 1 1 1 1 1
36 27 1 1 1 1 1
36 92 1 1 1 0 0
37 19 1 0 0 0 0
37 21 0 0 1 1 1
37 33 1 1 1 0 0
37 41 1 1 1 0 0
38 4 0 1 1 1 0
38 43 0 0 1 0 0
39 1 1 1 1 0 0
39 12 0 0 1 1 1
39 41 1 1 1 1 1
