source target weight_t0 weight_t1 weight_t2 weight_t3 weight_t4 weight_t5 weight_t6
0 22 1 0 0 0 0 0 0
0 50 1 0 0 0 0 0 0
0 53 1 0 0 0 0 0 0
0 60 0 1 1 0 0 0 0
0 108 0 1 1 1 1 1 0
0 113 1 0 0 0 0 0 0
0 117 0 0 1 1 1 1 1
0 149 1 1 1 1 1 0 0
0 197 1 0 0 0 0 0 0
0 223 1 0 0 0 0 0 0
0 227 0 0 0 0 0 1 0
0 256 1 0 0 0 0 0 0
0 297 1 0 0 0 0 0 0
0 324 1 0 0 0 0 0 0
1 27 0 0 1 1 1 1 1
1 31 1 0 0 0 0 0 0
1 68 1 0 0 0 0 0 0
1 95 1 1 1 1 1 1 1
1 98 0 1 1 1 1 1 0
1 110 1 0 0 0 0 0 0
1 118 1 1 1 0 1 1 1
1 166 1 0 0 0 0 0 0
1 191 0 0 0 0 0 1 0
1 192 1 0 0 0 0 0 0
1 228 1 0 0 0 0 0 0
1 232 1 0 0 0 0 0 0
1 239 1 0 0 0 0 0 0
1 388 1 0 0 0 0 0 0
1 489 1 0 0 0 0 0 0
2 27 1 1 1 1 1 1 1
2 31 1 0 0 0 0 0 0
2 36 1 0 0 0 0 0 0
2 51 1 0 0 0 0 0 0
2 86 1 0 0 0 0 0 0
2 120 1 0 0 0 0 0 0
2 123 1 1 1 1 1 1 1
2 129 1 0 0 0 0 0 0
2 130 1 0 0 0 0 0 0
2 149 1 0 0 0 0 0 0
2 158 1 0 0 0 0 0 0
2 162 0 0 1 0 0 0 0
2 263 1 0 0 0 0 0 0
2 318 1 0 0 0 0 0 0
2 450 1 0 0 0 0 0 0
2 473 0 0 0 0 1 1 1
3 9 1 0 0 0 0 0 0
3 21 1 0 0 0 0 0 0
3 48 1 0 0 0 0 0 0
3 59 1 0 0 0 0 0 0
3 70 1 0 0 0 0 0 0
3 78 1 0 0 0 0 0 0
3 84 1 1 1 1 1 1 1
3 99 1 1 1 0 0 0 0
3 120 1 1 0 0 0 0 0
3 153 0 0 0 0 0 1 1
3 209 0 0 0 0 1 1 1
3 217 1 0 0 0 0 0 0
3 221 1 0 0 0 0 0 0
3 269 1 0 0 0 0 0 0
3 336 1 0 0 0 0 0 0
3 380 1 0 0 0 0 0 0
3 387 1 0 0 0 0 0 0
4 20 0 1 1 1 1 1 1
4 62 1 0 0 0 0 0 0
4 66 0 0 0 1 1 1 1
4 78 1 0 0 0 0 0 0
4 98 1 0 0 0 0 0 0
4 103 0 1 1 1 1 1 1
4 121 1 1 1 1 1 1 1
4 123 1 0 0 0 0 0 0
4 130 0 0 1 1 1 1 1
4 139 1 0 0 0 0 0 0
4 161 0 0 1 1 1 1 1
4 176 1 0 0 0 0 0 0
4 206 1 0 0 0 0 0 0
4 299 1 0 0 0 0 0 0
4 328 1 0 0 0 0 0 0
4 419 0 0 0 0 0 0 1
4 475 1 0 0 0 0 0 0
5 29 1 0 0 0 0 0 0
5 49 1 1 1 0 0 0 0
5 94 1 0 0 0 0 0 0
5 100 1 0 0 0 0 0 0
5 106 1 0 0 0 0 0 0
5 114 1 0 0 0 0 0 0
5 116 1 0 0 0 0 0 0
5 120 0 0 0 1 1 1 0
5 141 0 1 1 1 1 1 1
5 145 1 1 1 1 1 0 0
5 186 1 0 0 0 0 0 0
5 219 1 0 0 0 0 0 0
5 239 1 1 1 1 0 0 0
5 253 1 0 0 0 0 0 0
5 261 1 0 0 0 0 0 0
5 290 1 0 0 0 0 0 0
5 325 1 1 1 1 0 0 0
5 370 1 0 0 0 0 0 0
5 420 1 0 0 0 0 0 0
5 421 1 0 0 0 0 0 0
5 456 1 0 0 0 0 0 0
5 467 1 0 0 0 0 0 0
5 469 0 0 0 0 1 1 1
5 493 1 0 0 0 0 0 0
5 494 1 0 0 0 0 0 0
6 21 1 0 0 0 0 0 0
6 37 1 0 0 0 0 0 0
6 83 1 0 0 0 0 0 0
6 92 1 0 0 0 0 0 0
6 113 1 0 0 0 0 0 0
6 129 0 1 0 0 0 0 0
6 130 1 0 0 0 0 0 0
6 154 1 0 0 0 0 0 0
6 218 1 0 0 0 0 0 0
6 238 1 0 0 0 0 0 0
6 242 1 0 0 0 0 0 0
6 271 1 0 0 0 0 0 0
6 292 1 0 0 0 0 0 0
6 351 1 1 1 1 1 0 0
6 376 1 0 0 0 0 0 0
6 407 1 0 0 0 0 0 0
6 459 1 0 0 0 0 0 0
7 11 0 0 0 1 1 1 1
7 42 1 0 0 0 0 0 0
7 59 0 0 1 1 1 1 1
7 64 1 0 0 0 0 0 0
7 89 1 0 0 0 0 0 0
7 93 1 0 0 0 0 0 0
7 185 1 0 0 0 0 0 0
7 229 1 0 0 0 0 0 0
7 289 1 0 0 0 0 0 0
7 404 1 0 0 0 0 0 0
7 410 0 0 0 0 1 1 1
7 438 1 0 0 0 0 0 0
8 13 0 1 0 0 0 0 0
8 36 1 0 0 0 0 0 0
8 42 1 0 0 0 0 0 0
8 46 0 0 1 1 1 1 0
8 54 1 0 0 0 0 0 0
8 75 0 1 0 0 0 0 0
8 76 1 1 1 1 1 1 1
8 97 1 0 0 0 0 0 0
8 227 1 0 0 0 0 0 0
8 298 1 0 0 0 0 0 0
8 345 1 0 0 0 0 0 0
8 348 1 0 0 0 0 0 0
8 369 1 0 0 0 0 0 0
8 386 0 0 0 0 0 0 1
8 461 1 0 0 0 0 0 0
9 24 1 0 0 0 0 0 0
9 33 1 0 0 0 0 0 0
9 58 0 0 0 1 1 0 1
9 79 1 0 0 0 0 0 0
9 80 0 1 1 1 0 0 0
9 98 1 0 0 0 0 0 0
9 122 1 0 0 0 0 0 0
9 146 1 0 0 0 0 0 0
9 151 1 0 0 0 0 0 0
9 186 1 0 0 0 0 0 0
9 187 1 0 0 0 0 0 0
9 194 1 0 0 0 0 0 0
9 206 1 0 0 0 0 0 0
9 232 1 0 0 0 0 0 0
9 234 1 0 0 0 0 0 0
9 336 0 0 0 0 1 0 0
9 340 1 0 0 0 0 0 0
9 429 1 0 0 0 0 0 0
10 15 1 0 0 0 0 0 0
10 71 1 1 1 1 1 1 1
10 73 1 0 0 0 0 0 0
10 74 1 1 1 1 1 1 1
10 79 1 1 0 0 0 0 0
10 88 0 1 1 1 1 1 0
10 99 1 0 0 0 0 0 0
10 153 0 0 0 0 1 0 0
10 165 0 0 0 1 1 1 1
10 183 1 0 0 0 0 0 0
10 197 1 0 0 0 0 0 0
10 208 1 0 0 0 0 0 0
10 211 1 0 0 0 0 0 0
10 223 0 0 0 0 0 1 1
10 227 1 0 0 0 0 0 0
10 251 1 0 0 0 0 0 0
10 370 1 0 0 0 0 0 0
10 417 1 0 0 0 0 0 0
10 434 1 0 0 0 0 0 0
10 436 1 0 0 0 0 0 0
10 475 0 0 0 0 0 1 1
11 23 1 0 0 0 0 0 0
11 47 0 0 0 0 0 1 1
11 55 1 1 1 0 0 0 0
11 83 1 0 0 0 0 0 0
11 90 1 0 0 0 0 0 0
11 122 0 0 1 0 0 0 0
11 153 1 0 0 0 0 0 0
11 155 1 1 1 1 1 0 0
11 187 1 0 0 0 0 0 0
11 285 1 0 0 0 0 0 0
11 300 1 0 0 0 0 0 0
11 348 1 0 0 0 0 0 0
11 354 1 0 0 0 0 0 0
11 377 1 0 0 0 0 0 0
11 419 0 1 1 1 1 1 1
11 498 1 0 0 0 0 0 0
11 499 1 0 0 0 0 0 0
12 53 1 1 1 1 0 0 0
12 104 1 0 0 0 0 0 0
12 109 0 0 1 1 1 1 1
12 129 1 0 0 0 0 0 0
12 207 1 0 0 0 0 0 0
12 223 1 0 0 0 0 0 0
12 261 0 0 0 0 1 0 0
12 286 1 0 0 0 0 0 0
12 296 1 0 0 0 0 0 0
12 418 1 0 0 0 0 0 0
12 476 1 0 0 0 0 0 0
13 22 1 0 0 0 0 0 0
13 34 1 1 1 1 0 0 0
13 44 1 0 0 0 0 0 0
13 75 1 0 0 0 0 0 0
13 91 1 1 1 1 0 0 0
13 102 1 0 0 0 0 0 0
13 113 0 0 1 0 0 0 0
13 129 1 0 0 0 0 0 0
13 133 1 0 0 0 0 0 0
13 152 1 1 1 1 1 0 0
13 161 1 0 0 0 0 0 0
13 168 1 0 0 0 0 0 0
13 205 1 0 0 0 0 0 0
13 308 1 0 0 0 0 0 0
13 345 1 0 0 0 0 0 0
13 401 1 0 0 0 0 0 0
13 403 1 0 0 0 0 0 0
13 462 1 0 0 0 0 0 0
14 22 1 0 0 0 0 0 0
14 33 0 1 1 1 1 1 1
14 48 1 0 0 0 0 0 0
14 59 0 0 0 1 1 1 1
14 60 1 0 0 0 0 0 0
14 75 1 0 0 0 0 0 0
14 88 1 0 0 0 0 0 0
14 92 0 0 0 1 1 1 1
14 94 0 1 0 0 0 0 0
14 104 1 0 0 0 0 0 0
14 124 1 0 0 0 0 0 0
14 139 1 1 1 1 1 1 1
14 179 1 0 0 0 0 0 0
14 205 1 0 0 0 0 0 0
14 230 1 0 0 0 0 0 0
14 251 1 0 0 0 0 0 0
14 317 1 0 0 0 0 0 0
14 323 1 0 0 0 0 0 0
14 325 1 0 0 0 0 0 0
14 328 0 0 0 0 0 0 1
14 341 1 0 0 0 0 0 0
14 352 1 0 0 0 0 0 0
14 385 1 0 0 0 0 0 0
14 425 0 0 0 0 0 1 1
14 465 0 0 0 0 0 1 1
15 0 1 1 1 1 1 1 0
15 10 1 0 0 0 0 0 0
15 31 0 0 1 0 0 0 0
15 37 0 0 0 1 1 1 1
15 49 1 0 0 0 0 0 0
15 77 1 0 0 0 0 0 0
15 112 1 0 0 0 0 0 0
15 116 1 0 0 0 0 0 0
15 119 1 0 0 0 0 0 0
15 120 1 0 0 0 0 0 0
15 133 1 0 0 0 0 0 0
15 167 0 0 0 0 0 1 1
15 184 0 0 0 0 0 1 1
15 216 0 0 0 0 0 1 1
15 307 1 0 0 0 0 0 0
15 352 1 0 0 0 0 0 0
15 385 1 0 0 0 0 0 0
15 390 1 0 0 0 0 0 0
15 411 1 0 0 0 0 0 0
15 461 1 0 0 0 0 0 0
15 478 1 0 0 0 0 0 0
16 5 1 0 0 0 0 0 0
16 19 1 0 0 0 0 0 0
16 64 1 0 0 0 0 0 0
16 81 1 0 0 0 0 0 0
16 82 1 0 0 0 0 0 0
16 124 0 1 1 0 0 0 0
16 148 1 1 1 0 0 0 0
16 153 0 0 0 1 1 1 1
16 166 1 0 0 0 0 0 0
16 176 0 0 0 0 0 1 1
16 191 1 0 0 0 0 0 0
16 202 1 0 0 0 0 0 0
16 318 1 0 0 0 0 0 0
16 327 1 0 0 0 0 0 0
16 334 1 0 0 0 0 0 0
16 411 1 0 0 0 0 0 0
16 421 1 0 0 0 0 0 0
16 430 1 0 0 0 0 0 0
16 437 1 0 0 0 0 0 0
17 55 1 0 0 0 0 0 0
17 57 1 0 0 0 0 0 0
17 71 1 1 1 0 0 0 0
17 103 1 1 1 1 0 0 0
17 138 0 0 0 1 1 1 1
17 241 0 0 0 0 1 1 1
17 268 1 0 0 0 0 0 0
17 269 1 0 0 0 0 0 0
17 293 0 0 0 0 1 1 1
17 310 1 0 0 0 0 0 0
18 9 1 1 1 1 1 1 1
18 30 0 0 0 0 0 0 1
18 42 1 0 0 0 0 0 0
18 60 0 1 1 1 1 0 0
18 94 1 0 0 0 0 0 0
18 106 1 0 0 0 0 0 0
18 112 1 0 0 0 0 0 0
18 137 1 0 0 0 0 0 0
18 152 1 0 0 0 1 1 1
18 161 1 1 1 1 1 1 1
18 162 1 0 0 0 0 0 0
18 223 0 0 0 0 0 0 1
18 244 1 0 0 0 0 0 0
18 251 1 0 0 0 0 0 0
18 307 1 0 0 0 0 0 0
18 353 1 0 0 0 0 0 0
18 358 1 0 0 0 0 0 0
18 370 1 0 0 0 0 0 0
18 380 1 0 0 0 0 0 0
18 382 1 0 0 0 0 0 0
18 414 1 0 0 0 0 0 0
18 471 1 0 0 0 0 0 0
18 490 1 0 0 0 0 0 0
19 10 0 0 1 0 0 0 0
19 58 1 1 1 1 1 1 1
19 97 1 0 0 0 0 0 0
19 99 1 0 0 0 0 0 0
19 102 0 1 0 0 0 0 0
19 110 1 0 0 0 0 0 0
19 126 1 0 0 0 0 0 0
19 136 1 0 0 0 0 0 0
19 155 1 0 0 0 0 0 0
19 173 1 0 0 0 0 0 0
19 217 1 0 0 0 0 0 0
19 256 0 0 0 0 1 0 0
19 289 1 0 0 0 0 0 0
19 390 1 0 0 0 0 0 0
19 429 1 0 0 0 0 0 0
19 437 0 0 0 0 0 0 1
20 32 1 0 0 0 0 0 0
20 52 1 1 1 0 0 0 0
20 78 1 0 0 0 0 0 0
20 131 1 0 0 0 0 0 0
20 135 1 0 0 0 0 0 0
20 155 1 1 1 1 1 1 1
20 180 1 0 0 0 0 0 0
20 188 1 0 0 0 0 0 0
20 207 1 0 0 0 0 0 0
20 407 0 0 0 0 1 0 0
20 430 1 0 0 0 0 0 0
20 431 1 0 0 0 0 0 0
20 445 1 0 0 0 0 0 0
21 6 1 0 0 0 0 0 0
21 17 1 0 0 0 0 0 0
21 20 1 0 0 0 0 0 0
21 47 0 0 0 1 0 0 0
21 66 0 0 0 0 0 0 1
21 83 1 0 0 0 0 0 0
21 92 1 0 0 0 0 0 0
21 96 1 0 0 0 0 0 0
21 171 0 0 0 0 0 0 1
21 209 1 0 0 0 0 0 0
21 261 1 0 0 0 0 0 0
21 269 1 0 0 0 0 0 0
21 281 1 0 0 0 0 0 0
21 312 1 0 0 0 0 0 0
21 421 1 0 0 0 0 0 0
21 439 1 0 0 0 0 0 0
21 459 0 0 0 0 0 1 1
21 482 1 0 0 0 0 0 0
21 493 1 0 0 0 0 0 0
22 4 1 0 0 0 0 0 0
22 24 1 0 0 0 0 0 0
22 29 1 1 1 0 0 0 0
22 48 1 0 0 0 0 0 0
22 76 0 0 0 0 0 0 1
22 105 1 0 0 0 0 0 0
22 112 0 0 1 0 0 0 0
22 119 1 1 0 0 0 0 0
22 123 1 0 0 0 0 0 0
22 125 1 1 1 1 1 1 1
22 165 1 1 1 1 1 0 0
