source target weight_t0 weight_t1 weight_t2 weight_t3 weight_t8 weight_t9 weight_t10 weight_t11
2 3 1 1 1 1 1 1 1 1
3 2 1 1 1 1 1 1 1 1
4 5 1 1 1 1 1 1 1 1
5 4 1 1 1 1 1 1 1 1
4 1 1 1 1 1 1 1 1 1
1 4 1 1 1 1 1 1 1 1
2 1 1 1 1 1 0 0 0 0
1 2 1 1 1 1 0 0 0 0
1 3 1 1 1 1 0 0 0 0
3 1 1 1 1 1 0 0 0 0
4 6 1 1 1 1 0 0 0 0
6 4 1 1 1 1 0 0 0 0
6 5 1 1 1 1 0 0 0 0
5 6 1 1 1 1 0 0 0 0
6 3 0 0 0 0 1 1 1 1
3 6 0 0 0 0 1 1 1 1
6 2 0 0 0 0 1 1 1 1
2 6 0 0 0 0 1 1 1 1
1 5 0 0 0 0 1 1 1 1
5 1 0 0 0 0 1 1 1 1
6 1 0 0 0 0 1 1 1 1
1 6 0 0 0 0 1 1 1 1
