algo,constrained,flag_data_T,rseed,K,eta0,beta0,T,eta,eta_aggr,beta,beta_aggr,auc,auc_aggr,loglik,loglik_aggr,CS_U,CS_V,CS_U_aggr,CS_V_aggr,F1_U,F1_V,F1_U_aggr,F1_V_aggr
CRepDyn_static,False,0,100,3,0.05,0.2,1,0.0,0.0,0.2,0.2,0.9053001021990609,0.9039948353388514,-13649.934956316833,-13685.739878168984,0.7169771206059845,0.7365179355858621,0.7108465415266414,0.7339616219055058,0.6671,0.6886,0.6468,0.6851
CRepDyn_static0,False,0,100,3,0.05,0.2,1,0.0,0.0,0.2,0.2,0.9017869359050513,0.9056375655538902,-13698.482108060762,-13620.557120726027,0.7062387122135432,0.7139212541800275,0.7157248401964046,0.7422924728646446,0.6543,0.6673,0.6711,0.6827
CRepDyn_static,False,0,100,3,0.05,0.2,2,0.0,0.0,0.8754217492862705,0.2,0.9288720253762087,0.9270077697998151,-6677.95425116007,-13897.889908476509,0.7428721921133908,0.7603838380114225,0.7384366176912132,0.7437621406145202,0.7021,0.7063,0.6894,0.6888
CRepDyn_static0,False,0,100,3,0.05,0.2,2,0.0,0.0,0.8754217492862705,0.2,0.9274706133318837,0.9278474742149294,-6718.863804471825,-13843.138551557797,0.7381980581103531,0.7566667458957533,0.7408719355228862,0.7563040107518838,0.7002,0.7027,0.696,0.706
CRepDyn_static,False,0,100,3,0.05,0.2,3,3.1543747149478268e-167,0.0,0.7869532017017564,0.2,0.9358567579099574,0.9375836884527877,-5126.0466332918795,-14192.185817378826,0.7822764243596132,0.7904489974190038,0.7772521977790834,0.7953643992759394,0.7386,0.7446,0.7424,0.7482
CRepDyn_static0,False,0,100,3,0.05,0.2,3,0.0,0.0,0.7869532017017564,0.2,0.9363256656661932,0.9371491236609492,-5148.5592213315185,-14206.096261552511,0.7730535336230812,0.7840713390299623,0.7785252477866677,0.789791978688148,0.7253,0.745,0.7368,0.7412
CRepDyn_static,False,0,100,3,0.05,0.2,4,6.719140344729553e-96,0.0,0.7222953904045157,0.2,0.8841264962218182,0.8846071607260176,-5173.356042347155,-15439.628732164589,0.8027557251341064,0.8128716112763471,0.8034288473552237,0.8119253578804919,0.7637,0.7669,0.7656,0.7695
CRepDyn_static0,False,0,100,3,0.05,0.2,4,0.0,0.0,0.7222953904045157,0.2,0.8850480861599068,0.8850940256755828,-5175.295377399598,-15518.997283834986,0.8029576955691788,0.8062626644427607,0.7989635800096189,0.8061549086847499,0.7681,0.757,0.7626,0.7601
CRepDyn_static,False,0,100,3,0.05,0.2,5,1.6032242176266884e-31,0.0,0.6762910410823297,0.2,0.8708937217838608,0.8693760111031363,-4971.820616123039,-16160.858692937218,0.7832684401979906,0.7863205801617169,0.7874099289299124,0.7870179977084159,0.7416,0.7276,0.7516,0.7367
CRepDyn_static0,False,0,100,3,0.05,0.2,5,0.0,0.0,0.6762910410823297,0.2,0.8689927722262415,0.8703706657090731,-4908.6116891912525,-16172.972709272988,0.7883774124126376,0.7945897733889267,0.7789953026039347,0.7911709143765453,0.7452,0.7415,0.7353,0.736
CRepDyn_static,False,0,100,3,0.05,0.2,6,0.001755752180144608,0.0,0.6400643062708149,0.2,0.8811574324713854,0.8814739308684771,-4734.761191224911,-16564.793345184844,0.760264848652184,0.7692966934296649,0.7560757480061074,0.7622329628371497,0.7124,0.7218,0.7124,0.7065
CRepDyn_static0,False,0,100,3,0.05,0.2,6,0.0,0.0,0.6404305169131647,0.2,0.8815157113790564,0.8805795516581689,-4652.292536715912,-16577.765263956237,0.7606404922926557,0.7712748424580332,0.7519676492017152,0.7687859172397451,0.7108,0.7122,0.7034,0.7101
