algo,constrained,flag_data_T,rseed,K,eta0,beta0,T,eta,eta_aggr,beta,beta_aggr,auc,auc_aggr,loglik,loglik_aggr,CS_U,CS_V,CS_U_aggr,CS_V_aggr,F1_U,F1_V,F1_U_aggr,F1_V_aggr
CRepDyn_static,False,0,100,3,0.2,0.2,1,0.0,0.0,0.2,0.2,0.8826392509349064,0.8826392509349064,-13254.963935333953,-13254.963935333953,0.5419280751095077,0.5320451726406679,0.5419280751095077,0.5320451726406679,0.4186,0.4049,0.4186,0.4049
CRepDyn_static0,False,0,100,3,0.2,0.2,1,0.0,0.0,0.2,0.2,0.8826392509349064,0.8826392509349064,-13254.963935333953,-13254.963935333953,0.5419280751095077,0.5320451726406679,0.5419280751095077,0.5320451726406679,0.4186,0.4049,0.4186,0.4049
CRepDyn_static,False,0,100,3,0.2,0.2,2,0.00583386601495033,0.0,0.8655432520284962,0.2,0.8949643591480931,0.88736533230459,-9568.608297291483,-13742.268887903025,0.5375906400363178,0.5185980860054445,0.5624310834787355,0.5579009581406744,0.4506,0.4334,0.4523,0.4385
CRepDyn_static0,False,0,100,3,0.2,0.2,2,0.0,0.0,0.865552885672197,0.2,0.8902609126008271,0.88736533230459,-9608.877854471415,-13742.268887903025,0.5139235924822576,0.4936685526037357,0.5624310834787355,0.5579009581406744,0.4195,0.4345,0.4523,0.4385
CRepDyn_static,False,0,100,3,0.2,0.2,3,0.012088537048999799,0.0,0.7693804446061128,0.2,0.8882966745747718,0.8841137177128766,-8742.792466225465,-14357.449920629808,0.5661756585553469,0.5572449099660411,0.5740557196393963,0.5714630176821093,0.4688,0.4607,0.4645,0.4583
CRepDyn_static0,False,0,100,3,0.2,0.2,3,0.0,0.0,0.7694186505304378,0.2,0.879154807834273,0.8841137177128766,-8824.087875944777,-14357.449920629808,0.5582929563801149,0.5542378156371067,0.5740557196393963,0.5714630176821093,0.461,0.4653,0.4645,0.4583
CRepDyn_static,False,0,100,3,0.2,0.2,4,0.017619226510991046,0.0,0.6971683034590447,0.2,0.9006422395847696,0.8900854984491866,-8239.68408841349,-14740.99508639914,0.547210183266103,0.5562939231998117,0.5896606963467405,0.5860047102582988,0.4589,0.4845,0.4735,0.4535
CRepDyn_static0,False,0,100,3,0.2,0.2,4,0.0,0.0,0.6972336503688086,0.2,0.8943637513127717,0.8900854984491866,-8352.602735988807,-14740.99508639914,0.5314000088599016,0.5517084481407396,0.5896606963467405,0.5860047102582988,0.4785,0.4753,0.4735,0.4535
CRepDyn_static,False,0,100,3,0.2,0.2,5,0.023134622005659064,0.0,0.6384111834967774,0.2,0.9048059263504455,0.8919762717477322,-7931.159984058826,-15157.01044780471,0.5641403541519832,0.5482222245522335,0.5729260339671782,0.5619762031178481,0.4936,0.4745,0.4686,0.4568
CRepDyn_static0,False,0,100,3,0.2,0.2,5,0.0,0.0,0.6385096149439341,0.2,0.8863167922230675,0.8919762717477322,-8115.592773380455,-15157.01044780471,0.6041141045402779,0.5874575119990169,0.5729260339671782,0.5619762031178481,0.5397,0.5322,0.4686,0.4568
CRepDyn_static0,False,0,100,3,0.2,0.2,6,0.0,0.0,0.5900919276359211,0.2,0.9074918546740267,0.9016291650079695,-7801.934788248918,-15490.276949589803,0.6028169703483036,0.5886843271552303,0.608025690432242,0.5993832859141712,0.5196,0.5025,0.5014,0.4953
CRepDyn_static,False,0,100,3,0.2,0.2,6,0.02831457997070414,0.0,0.5899636941170006,0.2,0.9127287796272862,0.9016291650079695,-7610.944495143925,-15490.276949589803,0.6311688570768121,0.6174560556683377,0.608025690432242,0.5993832859141712,0.5681,0.5438,0.5014,0.4953
